Brand,Name,Total Loads,Total Plays,Unique Loads,Unique Plays,Average Percent Viewed,Duration,Play Rate
Old Branding        ,Vid-QA-00079,644,648,383,395,0.65032,129.93401,1
Old Branding        ,Vid-QA-00080,612,397,403,354,0.74018,143.2,0.87841
Old Branding        ,Vid-QA-00081,691,693,452,454,0.69642,136.367,1
Old Branding        ,Vid-QA-00082,684,683,446,448,0.70622,114.934,1
Old Branding        ,Vid-QA-00083,726,502,478,426,0.85084,29.834,0.89121
Old Branding        ,Vid-QA-00084,704,704,466,472,0.69243,200.634,1
Old Branding        ,Vid-QA-00085,2968,2894,2071,2083,0.49281,226.89999,1
Old Branding        ,Vid-QA-00086,529,357,344,299,0.80143,159.43401,0.86919
Old Branding        ,Vid-QA-00087,572,372,351,306,0.7629,82.1,0.87179
Old Branding        ,Vid-QA-00088,664,662,359,370,0.62043,193.16701,1
Old Branding        ,Vid-QA-00089,675,669,359,363,0.61517,193.967,1
Old Branding        ,Vid-QA-00090,676,418,372,332,0.8505,66.034,0.89247
Old Branding        ,Vid-QA-00091,962,687,533,464,0.69258,126.9,0.87054
Old Branding        ,Vid-QA-00092,514,519,228,241,0.52901,238.767,1
Old Branding        ,Vid-QA-00093,581,590,345,360,0.56514,281.767,1
Old Branding        ,Vid-QA-00094,723,719,389,391,0.63704,165,1
Old Branding        ,Vid-QA-00095,728,735,396,408,0.65644,119.3,1
Old Branding        ,Vid-QA-00096,1849,1816,1251,1256,0.50949,183.2,1
Old Branding        ,Vid-QA-00097,902,890,559,559,0.71122,86.967,1
Old Branding        ,Vid-QA-00098,293,266,191,178,0.5568,100,0.93194
Old Branding        ,Vid-QA-00099,221,197,171,156,0.70756,113,0.91228
Old Branding        ,Vid-QA-00100,1456,1401,1217,1182,0.76152,147,0.97124
Old Branding        ,Vid-QA-00101,1474,1414,1212,1177,0.7961,51,0.97112
Old Branding        ,Vid-QA-00102,1509,1459,1221,1204,0.72393,55,0.98608
Old Branding        ,Vid-QA-00103,1511,1485,1226,1217,0.74438,119,0.99266
Old Branding        ,Vid-QA-00104,1452,1402,1205,1177,0.75408,121,0.97676
Old Branding        ,Vid-QA-00105,163,146,133,121,0.72161,92,0.90977
Old Branding        ,Vid-QA-00106,1404,1337,1196,1151,0.75845,66,0.96237
Old Branding        ,Vid-QA-00107,154,141,131,121,0.72087,143,0.92366
Old Branding        ,Vid-QA-00108,1692,1634,1242,1220,0.70565,70,0.98229
Old Branding        ,Vid-QA-00109,1692,1600,1236,1199,0.72979,142,0.97006
Old Branding        ,Vid-QA-00110,1746,1658,1229,1196,0.72991,146,0.97315
Old Branding        ,Vid-QA-00111,1533,1469,1197,1176,0.72527,74,0.98246
Old Branding        ,Vid-QA-00112,1378,1308,1181,1134,0.77012,70,0.9602
Old Branding        ,Vid-QA-00113,1406,1335,1189,1139,0.76254,68,0.95795
Old Branding        ,Vid-QA-00114,1405,1347,1179,1138,0.77066,80,0.96522
Old Branding        ,Vid-QA-00115,174,156,149,133,0.75152,94,0.89262
Old Branding        ,Vid-QA-00116,1428,1354,1186,1138,0.77034,77,0.95953
Old Branding        ,Vid-QA-00117,147,133,128,115,0.73978,68,0.89844
Old Branding        ,Vid-QA-00118,1435,1373,1178,1138,0.75382,76,0.96604
Old Branding        ,Vid-QA-00119,1394,1360,1176,1158,0.73709,122,0.98469
Old Branding        ,Vid-QA-00120,146,129,125,111,0.77208,155,0.888
Old Branding        ,Vid-QA-00121,1573,1533,1191,1174,0.68409,211,0.98573
Old Branding        ,Vid-QA-00122,1368,1313,1155,1121,0.73438,75,0.97056
Old Branding        ,Vid-QA-00123,1324,1270,1151,1114,0.75337,65,0.96785
Old Branding        ,Vid-QA-00124,1526,1460,1177,1149,0.6384,128,0.97621
Old Branding        ,Vid-QA-00125,1587,1497,1264,1233,0.67778,87,0.97547
Old Branding        ,Vid-QA-00126,1541,1447,1173,1127,0.6642,211,0.96078
Old Branding        ,Vid-QA-00127,1453,1360,1147,1095,0.7202,125,0.95466
Old Branding        ,Vid-QA-00128,1356,1274,1132,1076,0.70437,92,0.95053
Old Branding        ,Vid-QA-00129,1355,1269,1137,1075,0.69683,101,0.94547
Old Branding        ,Vid-QA-00130,1528,1472,1164,1131,0.64152,213,0.97165
Old Branding        ,Vid-QA-00131,1321,1252,1140,1095,0.63753,81,0.96053
Old Branding        ,Vid-QA-00132,7855,6999,6852,6174,0.59488,106.44,0.90105
Old Branding        ,Vid-QA-00133,11749,10780,10420,9677,0.59318,90.691,0.92869
Old Branding        ,Vid-QA-00134,5444,5026,4698,4372,0.64602,114.815,0.93061
Old Branding        ,Vid-QA-00135,4263,4034,3719,3581,0.63319,111.012,0.96289
Old Branding        ,Vid-QA-00136,2731,2533,2412,2262,0.62051,103.504,0.93781
Old Branding        ,Vid-QA-00137,3718,3477,3198,3021,0.6428,104.605,0.94465
Old Branding        ,Vid-QA-00138,5595,5389,4093,4048,0.66262,132,0.98901
Old Branding        ,Vid-QA-00139,6505,5964,4440,4262,0.60266,44,0.95991
Old Branding        ,Vid-QA-00140,4452,4322,3374,3352,0.65262,228,0.99348
Old Branding        ,Vid-QA-00141,4643,4544,3202,3215,0.63819,143,1
Old Branding        ,Vid-QA-00142,3865,3721,2979,2921,0.71847,75,0.98053
Old Branding        ,Vid-QA-00143,4450,4307,3094,3043,0.65329,147,0.98352
Old Branding        ,Vid-QA-00144,4625,4508,3102,3073,0.63042,144,0.99065
Old Branding        ,Vid-QA-00145,4777,4598,3547,3469,0.7189,45.9,0.97801
Old Branding        ,Vid-QA-00146,4562,4407,3128,3082,0.63974,155,0.98529
Old Branding        ,Vid-QA-00147,4090,3934,2973,2925,0.69794,115,0.98385
Old Branding        ,Vid-QA-00148,4008,3958,3038,3022,0.61064,186,0.99473
Old Branding        ,Vid-QA-00149,4406,4256,3009,2953,0.63752,65,0.98139
Old Branding        ,Vid-QA-00150,3933,3799,2557,2508,0.5981,102,0.98084
Old Branding        ,Vid-QA-00151,4915,4852,3050,3077,0.55293,255,1
Old Branding        ,Vid-QA-00152,4730,4608,2937,2908,0.6406,127,0.99013
Old Branding        ,Vid-QA-00153,5165,5118,3029,3081,0.56977,303,1
Old Branding        ,Vid-QA-00154,4669,4569,2871,2843,0.57521,264,0.99025
Old Branding        ,Vid-QA-00155,5679,5518,2851,2794,0.45544,89,0.98001
Old Branding        ,Vid-QA-00156,4229,4125,2704,2734,0.63095,164,1
Old Branding        ,Vid-QA-00157,4264,4132,2711,2695,0.60728,330,0.9941
Old Branding        ,Vid-QA-00158,4078,4032,2706,2726,0.59092,353,1
Old Branding        ,Vid-QA-00159,3047,2845,2329,2205,0.6707,51,0.94676
Old Branding        ,Vid-QA-00160,3969,3898,2675,2674,0.58264,121.134,0.99963
Old Branding        ,Vid-QA-00161,4396,4282,2662,2625,0.62546,114,0.9861
Old Branding        ,Vid-QA-00162,4024,3806,2535,2448,0.64028,176,0.96568
Old Branding        ,Vid-QA-00163,2863,2690,2287,2178,0.6676,112,0.95234
Old Branding        ,Vid-QA-00164,3578,3413,2441,2364,0.57472,168,0.96846
Old Branding        ,Vid-QA-00165,3451,3262,2350,2247,0.59125,147,0.95617
Old Branding        ,Vid-QA-00166,4434,4322,2622,2595,0.60417,221,0.9897
Old Branding        ,Vid-QA-00167,3678,3594,2449,2392,0.55679,317,0.97673
Old Branding        ,Vid-QA-00168,4103,3967,2541,2486,0.58949,237,0.97835
Old Branding        ,Vid-QA-00169,4137,3987,2604,2542,0.58893,147,0.97619
Old Branding        ,Vid-QA-00170,3041,2873,2331,2229,0.61081,290,0.95624
Old Branding        ,Vid-QA-00171,3567,3526,2379,2372,0.56348,317,0.99706
Old Branding        ,Vid-QA-00172,3464,3279,2380,2277,0.62642,196,0.95672
Old Branding        ,Vid-QA-00173,4838,4732,2689,2665,0.57889,252,0.99107
Old Branding        ,Vid-QA-00174,3013,2852,2348,2265,0.56807,83,0.96465
Old Branding        ,Vid-QA-00175,3348,3198,2388,2305,0.56015,267,0.96524
Old Branding        ,Vid-QA-00176,2646,2431,2270,2106,0.61894,35,0.92775
Old Branding        ,Vid-QA-00177,2613,2373,2196,2062,0.55308,24,0.93898
Old Branding        ,Vid-QA-00178,2650,2489,2224,2111,0.57952,244,0.94919
Old Branding        ,Vid-QA-00179,2843,2642,2396,2255,0.51183,245,0.94115
Old Branding        ,Vid-QA-00180,2588,2394,2223,2092,0.54046,253,0.94107
Old Branding        ,Vid-QA-00181,15526,14466,10421,10017,0.49023,60.603,0.96123
Old Branding        ,Vid-QA-00182,3929,3751,3126,3062,0.72582,31,0.97953
Old Branding        ,Vid-QA-00183,4183,4119,3034,3041,0.66334,136,1
Old Branding        ,Vid-QA-00184,10854,10062,7588,7281,0.50916,62,0.95954
Old Branding        ,Vid-QA-00185,4381,4109,3445,3305,0.69828,81,0.95936
Old Branding        ,Vid-QA-00186,4109,3830,3303,3145,0.69818,144,0.95216
Old Branding        ,Vid-QA-00187,4336,4050,3266,3140,0.6345,249,0.96142
Old Branding        ,Vid-QA-00188,4313,4061,3158,3051,0.60885,109,0.96612
Old Branding        ,Vid-QA-00189,26708,24735,20733,19812,0.60678,75,0.95558
Old Branding        ,Vid-QA-00190,3686,3374,2831,2648,0.69368,110,0.93536
Old Branding        ,Vid-QA-00191,3602,3279,2766,2600,0.69168,72,0.93999
Old Branding        ,Vid-QA-00192,3416,3135,2707,2553,0.71776,65,0.94311
Old Branding        ,Vid-QA-00193,3592,3323,2704,2549,0.67642,190,0.94268
Old Branding        ,Vid-QA-00194,3074,2855,2577,2438,0.72969,62,0.94606
Old Branding        ,Vid-QA-00195,2986,2758,2551,2406,0.73208,100,0.94316
Old Branding        ,Vid-QA-00196,3102,2846,2556,2396,0.69136,75,0.9374
Old Branding        ,Vid-QA-00197,3065,2769,2553,2373,0.70876,103,0.92949
Old Branding        ,Vid-QA-00198,2915,2628,2508,2313,0.70324,104,0.92225
Old Branding        ,Vid-QA-00199,24018,22135,19100,18154,0.58113,92,0.95047
Old Branding        ,Vid-QA-00200,22368,20740,18835,17839,0.57393,103,0.94712
Old Branding        ,Vid-QA-00201,22350,20785,18689,17788,0.58257,82,0.95179
Old Branding        ,Vid-QA-00202,2810,2536,2369,2198,0.64154,69,0.92782
Old Branding        ,Vid-QA-00203,1264,1233,916,923,0.59799,117.9,1
Old Branding        ,Vid-QA-00204,450,436,321,319,0.71084,89.767,0.99377
Old Branding        ,Vid-QA-00205,667,641,348,355,0.61668,145.39999,1
Old Branding        ,Vid-QA-00206,533,528,334,337,0.69376,100.234,1
Old Branding        ,Vid-QA-00207,509,315,336,278,0.78054,86.767,0.82738
Old Branding        ,Vid-QA-00208,545,545,321,330,0.62708,144,1
Old Branding        ,Vid-QA-00209,470,465,301,303,0.59679,151.134,1
Old Branding        ,Vid-QA-00210,632,616,317,315,0.55285,115.067,0.99369
Old Branding        ,Vid-QA-00211,517,317,314,265,0.6698,165.66701,0.84395
Old Branding        ,Vid-QA-00212,493,479,313,312,0.65712,67.7,0.99681
Old Branding        ,Vid-QA-00213,543,548,313,314,0.57692,220.66701,1
Old Branding        ,Vid-QA-00214,465,296,303,253,0.78031,72.567,0.83498
Old Branding        ,Vid-QA-00215,472,476,315,326,0.66058,185.39999,1
Old Branding        ,Vid-QA-00216,465,447,298,297,0.72774,73.067,0.99664
Old Branding        ,Vid-QA-00217,503,497,300,307,0.6158,135.73399,1
Old Branding        ,Vid-QA-00218,502,278,307,241,0.73667,173.16701,0.78502
Old Branding        ,Vid-QA-00219,575,576,320,342,0.62663,128.467,1
Old Branding        ,Vid-QA-00220,558,558,315,319,0.57905,248.39999,1
Old Branding        ,Vid-QA-00221,503,486,303,304,0.6855,51.9,1
Old Branding        ,Vid-QA-00222,512,305,316,252,0.68518,94.667,0.79747
Old Branding        ,Vid-QA-00223,432,426,295,299,0.71322,100.267,1
Old Branding        ,Vid-QA-00224,395,260,298,233,0.8219,33.8,0.78188
Old Branding        ,Vid-QA-00225,442,419,292,293,0.69993,123.767,1
Old Branding        ,Vid-QA-00226,452,438,285,291,0.67913,104.9,1
Old Branding        ,Vid-QA-00227,411,259,288,224,0.70791,84.667,0.77778
Old Branding        ,Vid-QA-00228,455,455,283,300,0.62674,220.3,1
Old Branding        ,Vid-QA-00229,473,459,277,276,0.61832,169.66701,0.99639
Old Branding        ,Vid-QA-00230,403,259,284,223,0.76248,65.234,0.78521
Old Branding        ,Vid-QA-00231,398,381,278,275,0.71045,108.834,0.98921
Old Branding        ,Vid-QA-00232,385,249,292,225,0.82085,31.967,0.77055
Old Branding        ,Vid-QA-00233,337,318,276,265,0.74185,54.067,0.96014
Old Branding        ,Vid-QA-00234,2494,2408,2111,2062,0.66026,104.338,0.97679
Old Branding        ,Vid-QA-00235,96188,90733,73844,71999,0.69648,37.367,0.97501
Old Branding        ,Vid-QA-00236,89449,85312,71534,69873,0.76631,22.6,0.97678
Old Branding        ,Vid-QA-00237,87948,84136,70141,68423,0.79771,18.467,0.97551
Old Branding        ,Vid-QA-00238,84967,81315,68653,66968,0.76853,35.634,0.97546
Old Branding        ,Vid-QA-00239,81692,78662,67399,66007,0.76742,42,0.97935
Old Branding        ,Vid-QA-00240,80283,77349,66700,65466,0.77631,40.734,0.9815
Old Branding        ,Vid-QA-00241,81001,77283,65855,64285,0.74796,44.1,0.97616
Old Branding        ,Vid-QA-00242,83811,80157,64919,63966,0.70567,93.467,0.98532
Old Branding        ,Vid-QA-00243,81717,78528,63482,62024,0.77759,29.967,0.97703
Old Branding        ,Vid-QA-00244,83387,80544,63047,62150,0.74245,96.3,0.98577
Old Branding        ,Vid-QA-00245,76892,73568,61353,59988,0.75626,47.634,0.97775
Old Branding        ,Vid-QA-00246,73306,70040,60339,58737,0.76005,42.534,0.97345
Old Branding        ,Vid-QA-00247,78664,75465,60133,58475,0.82229,19.434,0.97243
Old Branding        ,Vid-QA-00248,75939,72009,59324,57535,0.78418,19.867,0.96984
Old Branding        ,Vid-QA-00249,76282,72728,59472,58036,0.75939,36.5,0.97585
Old Branding        ,Vid-QA-00250,80581,77668,58964,58360,0.68175,64.7,0.98976
Old Branding        ,Vid-QA-00251,74749,71099,57404,55993,0.75882,22.534,0.97542
Old Branding        ,Vid-QA-00252,71462,68016,57260,55677,0.76125,59.9,0.97235
Old Branding        ,Vid-QA-00253,72021,67689,56882,55105,0.77889,25,0.96876
Old Branding        ,Vid-QA-00254,72148,67913,56140,54638,0.73483,36.567,0.97325
Old Branding        ,Vid-QA-00255,66130,62256,54916,53217,0.76822,33.034,0.96906
Old Branding        ,Vid-QA-00256,66258,62940,54938,53008,0.83702,10.234,0.96487
Old Branding        ,Vid-QA-00257,73348,70431,54776,53336,0.75552,29.567,0.97371
Old Branding        ,Vid-QA-00258,74528,71181,54679,52872,0.7565,24.8,0.96695
Old Branding        ,Vid-QA-00259,74230,70575,54458,52723,0.73953,25.267,0.96814
Old Branding        ,Vid-QA-00260,66606,63985,53630,52796,0.64421,40.034,0.98445
Old Branding        ,Vid-QA-00261,61146,57803,52533,50627,0.72588,25.834,0.96372
Old Branding        ,Vid-QA-00262,61865,59072,52507,50930,0.73547,46.7,0.96997
Old Branding        ,Vid-QA-00263,64058,61268,52468,50930,0.75444,48.467,0.97069
Old Branding        ,Vid-QA-00264,62948,59862,52014,50266,0.72681,73.534,0.96639
Old Branding        ,Vid-QA-00265,60915,58135,51340,49696,0.7346,36.2,0.96798
Old Branding        ,Vid-QA-00266,61230,57700,51203,49198,0.73498,51.6,0.96084
Old Branding        ,Vid-QA-00267,63206,59314,51158,49183,0.73701,25.2,0.96139
Old Branding        ,Vid-QA-00268,59256,55640,50364,48366,0.76931,19.787,0.96033
Old Branding        ,Vid-QA-00269,60398,57036,50527,48345,0.78333,17.667,0.95682
Old Branding        ,Vid-QA-00270,59586,56592,50266,48463,0.75738,21.667,0.96413
Old Branding        ,Vid-QA-00271,57631,54823,50195,48378,0.75043,27.067,0.9638
Old Branding        ,Vid-QA-00272,58021,55362,50204,48541,0.77372,22.367,0.96688
Old Branding        ,Vid-QA-00273,58193,54603,50037,47810,0.73492,49.034,0.95549
Old Branding        ,Vid-QA-00274,57759,54637,49943,47947,0.715,60.467,0.96003
Old Branding        ,Vid-QA-00275,60871,57945,50177,48836,0.70954,66.7,0.97327
Old Branding        ,Vid-QA-00276,60535,56634,49759,47895,0.73636,30.867,0.96254
Old Branding        ,Vid-QA-00277,58777,55456,49404,47533,0.72346,57.367,0.96213
Old Branding        ,Vid-QA-00278,58892,55000,49527,47273,0.74742,37.2,0.95449
Old Branding        ,Vid-QA-00279,929,888,776,753,0.75044,163,0.97036
Old Branding        ,Vid-QA-00280,1102,1061,863,850,0.71794,125,0.98494
Old Branding        ,Vid-QA-00281,1200,1187,975,972,0.72623,188,0.99692
Old Branding        ,Vid-QA-00282,1520,1480,1285,1267,0.76982,85,0.98599
Old Branding        ,Vid-QA-00283,1712,1647,1435,1405,0.71954,54,0.97909
Old Branding        ,Vid-QA-00284,1548,1507,1299,1275,0.74996,46,0.98152
Old Branding        ,Vid-QA-00285,1011,989,846,839,0.74716,131,0.99173
Old Branding        ,Vid-QA-00286,1503,1471,1270,1260,0.71072,52,0.99213
Old Branding        ,Vid-QA-00287,1529,1496,1274,1253,0.74714,105,0.98352
Old Branding        ,Vid-QA-00288,1684,1603,1280,1237,0.71267,172,0.96641
Old Branding        ,Vid-QA-00289,1109,1066,845,817,0.70321,155,0.96686
Old Branding        ,Vid-QA-00290,1219,1172,832,812,0.63317,179,0.97596
Old Branding        ,Vid-QA-00291,1027,979,767,735,0.69343,96,0.95828
Old Branding        ,Vid-QA-00292,1079,1050,774,761,0.66541,94,0.9832
Old Branding        ,Vid-QA-00293,1116,1072,779,754,0.68602,71,0.96791
Old Branding        ,Vid-QA-00294,895,849,750,726,0.70969,91,0.968
Old Branding        ,Vid-QA-00295,959,927,766,753,0.70817,67,0.98303
Old Branding        ,Vid-QA-00296,1408,1322,1227,1163,0.6696,109,0.94784
Old Branding        ,Vid-QA-00297,1554,1507,1284,1254,0.67748,66,0.97664
Old Branding        ,Vid-QA-00298,51,39,45,34,0.57934,98,0.75556
Old Branding        ,Vid-QA-00299,1380,1299,1209,1157,0.63769,56,0.95699
Old Branding        ,Vid-QA-00300,1497,1397,1219,1166,0.64134,93,0.95652
Old Branding        ,Vid-QA-00301,1016,983,770,750,0.6905,130,0.97403
Old Branding        ,Vid-QA-00302,1793,1678,1327,1275,0.61375,136,0.96081
Old Branding        ,Vid-QA-00303,382,364,293,280,0.7096,37,0.95563
Old Branding        ,Vid-QA-00304,583,556,403,393,0.60524,142.7,0.97519
Old Branding        ,Vid-QA-00305,568,553,368,358,0.61127,150.334,0.97283
Old Branding        ,Vid-QA-00306,637,611,435,422,0.60642,82.834,0.97011
Old Branding        ,Vid-QA-00307,422,398,297,288,0.66719,121,0.9697
Old Branding        ,Vid-QA-00308,1300,1230,1022,988,0.66935,141,0.96673
Old Branding        ,Vid-QA-00309,1209,1157,1003,975,0.68795,36,0.97208
Old Branding        ,Vid-QA-00310,1334,1272,1026,986,0.69105,72,0.96101
Old Branding        ,Vid-QA-00311,1252,1179,1017,963,0.72487,73,0.9469
Old Branding        ,Vid-QA-00312,433,407,293,280,0.60239,166,0.95563
Old Branding        ,Vid-QA-00313,436,404,293,272,0.60228,164,0.92833
Old Branding        ,Vid-QA-00314,273,248,164,150,0.49197,240,0.91463
Old Branding        ,Vid-QA-00315,1292,1220,997,968,0.61509,34,0.97091
Old Branding        ,Vid-QA-00316,1203,1135,991,948,0.63428,163,0.95661
Old Branding        ,Vid-QA-00317,1139,1065,978,931,0.7059,74,0.95194
Old Branding        ,Vid-QA-00318,1333,1274,1000,955,0.72401,33,0.955
Old Branding        ,Vid-QA-00319,515,482,414,394,0.72927,50,0.95169
Old Branding        ,Vid-QA-00320,1174,1088,988,923,0.72398,58,0.93421
Old Branding        ,Vid-QA-00321,1101,1023,976,916,0.72247,50,0.93852
Old Branding        ,Vid-QA-00322,1419,1349,1007,970,0.6521,136,0.96326
Old Branding        ,Vid-QA-00323,100,90,84,78,0.70758,60,0.92857
Old Branding        ,Vid-QA-00324,96,86,82,75,0.72836,58,0.91463
Old Branding        ,Vid-QA-00325,1094,1012,969,908,0.67674,125,0.93705
Old Branding        ,Vid-QA-00326,80,72,64,55,0.60795,236,0.85938
Old Branding        ,Vid-QA-00327,171,150,150,133,0.58564,99,0.88667
Old Branding        ,Vid-QA-00328,27709,26555,21149,20865,0.74365,71,0.98657
Old Branding        ,Vid-QA-00329,23710,23203,19017,18967,0.75992,102,0.99737
Old Branding        ,Vid-QA-00330,23035,22589,18955,18940,0.7837,121,0.99921
Old Branding        ,Vid-QA-00331,29578,29472,20937,21390,0.67293,126,1
Old Branding        ,Vid-QA-00332,25227,24906,18961,19128,0.7318,127,1
Old Branding        ,Vid-QA-00333,23546,23016,18538,18481,0.75324,81,0.99693
Old Branding        ,Vid-QA-00334,24202,23927,18768,19053,0.74421,146,1
Old Branding        ,Vid-QA-00335,21887,21655,18196,18276,0.7919,127,1
Old Branding        ,Vid-QA-00336,20909,20690,17924,17985,0.80231,113,1
Old Branding        ,Vid-QA-00337,21552,21277,18024,18043,0.79963,121,1
Old Branding        ,Vid-QA-00338,22425,22010,18133,18109,0.79113,97,0.99868
